조사서번호,화재발생년월일,읍면동,세부주소,대상(도로)명,지역대거리,지번동,지번리,도로명주소,위도,경도
'120204140422543,2012-02-04 11:05,초촌면,'101-4 ,주거시설-단독주택,0,초촌면,응평리,초촌로 43,0,0
'120205205355889,2012-02-05 18:58,규암면,'376-  고속도로 출구 도로상,차량- 승용차량(아반떼),0,규암면,나복리,라복로84번길 48-17,0,0
'120209034516718,2012-02-09 0:34,임천면,' - 도로상,차량,0,임천면,만사리,,0,0
'120210190621847,2012-02-10 18:06,부여읍,'356-1 ,기타-하수구,0,부여읍,구아리,나성북로 33,0,0
'120211233659279,2012-02-11 19:34,구룡면,'271- ,주거시설- 단독주택,0,구룡면,태양리,태양로11번길 22,0,0
'120212182338917,2012-02-12 14:44,장암면,'537-1 ,임야,0,장암면,석동리,의자로1407번길 27-4,0,0
'120212184524762,2012-02-12 15:00,임천면,'65- ,주택화재,0,임천면,군사리,성흥로 117-6,0,0
'120213073733079,2012-02-13 5:28,세도면,'38-1 ,기타- 비닐하우스,0,세도면,청포리,토정로58번길 14,0,0
'120215144356530,2012-02-15 11:35,부여읍,'44-6 ,주거시설- 주택,0,부여읍,능산리,,0,0
'120216162732822,2012-02-16 14:56,규암면,'345-5 ,주거시설- 단독주택,0,규암면,외리,충절로 2227-34,0,0
'120217022715368,2012-02-17 0:29,임천면,'453-1 ,동식물시설-비닐하우스,0,임천면,가신리,,0,0
'120218131548148,2012-02-18 11:42,부여읍,'396-2 ,생활서비스-음식점,0,부여읍,구아리,부여로 6-7,0,0
'120218184242316,2012-02-18 18:35,규암면,'125-11 ,,0,규암면,규암리,규암로2번길 5,0,0
'120220235540853,2012-02-20 22:40,부여읍,'93-1 ,기타(쓰레기),0,부여읍,쌍북리,,0,0
'120221114804906,2012-02-21 10:05,부여읍,'323- ,기타(폐목재),0,부여읍,가탑리,금성로97번길 35-2,0,0
'120222223649504,2012-02-22 21:36,부여읍,'40--6 번지,기타- 쓰래기 야적장,0,부여읍,동남리,금성로 27,0,0
'120224112450905,2012-02-24 10:12,부여읍,'374-3 ,포장마차,0,부여읍,구교리,성왕로161번길 5-28,0,0
'120224135738468,2012-02-24 12:47,장암면,' - 석동교 아래,기타(하천),0,장암면,석동리,,0,0
'120224190309790,2012-02-24 18:07,규암면,'89-1 ,기타-야외,0,규암면,규암리,자온로 43,0,0
'120224223340622,2012-02-24 20:08,석성면,'528- ,주거시설-단독주택(헛간),0,석성면,봉정리,석성남로232번길 52,0,0
'120227111810594,2012-02-27 10:06,부여읍,'374-3 ,기타건축물-포장마차,0,부여읍,구교리,성왕로161번길 5-28,0,0
'120301053440093,2012-03-01 4:00,부여읍,'374- -4 번지,기타-포장마차(철거중),0,부여읍,구교리,성왕로161번길 5-28,0,0
'120303195256094,2012-03-03 18:58,구룡면,'437-1 ,기타(제방),0,구룡면,죽교리,,0,0
'120309163156674,2012-03-09 14:57,임천면,' -  제방,제방,0,임천면,칠산리,,0,0
'120311145252408,2012-03-11 12:42,부여읍,' - 용정교옆 비닐하우스,기타- 비닐하우스,0,부여읍,용정리,용정로29번길 11-16,0,0
'120312102957069,2012-03-12 9:23,부여읍,' - 산 19-3 인근 40번 국도상,차량 적재물,0,부여읍,자왕리,,0,0
'120315201214059,2012-03-15 18:45,규암면,' - 마을입구 공터,기타(공터),0,규암면,내리,,0,0
'120316122959224,2012-03-16 10:20,장암면,'130-1 ,주거시설-주택,0,장암면,석동리,석동로56번길 13-2,0,0
'120318150447120,2012-03-18 12:41,홍산면,'270-5 ,건축구조물(주택),0,홍산면,조현리,조무로46번길 17,0,0
'120321161503421,2012-03-21 14:16,부여읍,'526- ,건축구조물- 주거시설 단독주택,0,부여읍,가증리,삼충로 75,0,0
'120325135638497,2012-03-25 12:38,장암면,'290- ,기타(대나무),2,장암면,원문리,,0,0
'120326020323309,2012-03-25 19:54,내산면,'119- ,주거시설- 단독주택,0,내산면,지티리,성충로지티길 11-17,0,0
'120326025838979,2012-03-26 0:02,장암면,'662-1 ,근림생활- 농협 하나로 마트,0,장암면,석동리,장암로 14,0,0
'120327150332578,2012-03-27 13:19,내산면,'102- ,임야,5,내산면,저동리,,0,0
'120327210314350,2012-03-27 20:03,은산면,'493-6 ,기타(비닐하우스),1,은산면,가중리,,0,0
'120405141711408,2012-04-05 12:56,초촌면,'342-9 태극제약 공사현장,,0.6,초촌면,응평리,금백로 821,0,0
'120407154506971,2012-04-07 13:32,임천면,' - 농공단지 옆 야산,임야,0,임천면,칠산리,,0,0
'120407192420430,2012-04-07 18:07,규암면,'544-3 ,기타건축물(헛간),0,규암면,내리,내동로91번길 44-6,0,0
'120408051628396,2012-04-08 4:17,부여읍,'330-1 앞 간이시설물,기타(간이시설물),0,부여읍,구아리,사비로99번길 4,0,0
'120408131252415,2012-04-08 10:37,양화면,' - 산 136,임야,0,양화면,상촌리,,0,0
'120408164300260,2012-04-08 15:12,초촌면,' - 회관 뒷산,임야,0,초촌면,추양리,,0,0
'120415162901888,2012-04-15 14:16,구룡면,' - 산 1번지,임야,0,구룡면,죽교리,,0,0
'120415170601342,2012-04-15 14:52,부여읍,'317-1 ,차량(1톤화물),0,부여읍,가탑리,금성로97번길 19,0,0
'120416220852507,2012-04-16 19:14,양화면,'322- ,"자동차,철도차량-자동차-승용자동차  03거 3226 (EF소나타)",0,양화면,수원리,양화서로778번길 41,0,0
'120418200112405,2012-04-18 17:27,임천면,'534-3 ,주거시설- 단독주택,0,임천면,칠산리,칠산로136번길 39,0,0
'120424162139391,2012-04-24 15:08,은산면,'222-27 ,짚가리,0,은산면,은산리,,0,0
'120426193800363,2012-04-26 17:28,부여읍,'113-1 ,"판매,업무시설-기타",0,부여읍,구교리,부여로 39,0,0
'120428121149921,2012-04-28 8:04,초촌면,'24-8 ,공장,0,초촌면,세탑리,금백로 960-14,0,0
'120428195833667,2012-04-28 17:44,세도면,'52- ,주거시설- 단독주택,0,세도면,장산리,인세로 271-13,0,0
'120430132444122,2012-04-30 12:35,석성면,' - 사비문 화장실,기타(화장실),0,석성면,증산리,,0,0
'120430181251315,2012-04-30 14:27,석성면,'93- ,임야,0,석성면,정각리,,0,0
'120505164430520,2012-05-05 12:12,부여읍,' - 부여-논산간 사비터널 전 도로상,차량,0,부여읍,능산리,,0,0
'120505235521952,2012-05-05 21:03,남면,'359- ,주거시설-주택(공가),0,남면,신홍리,금천로292번길 31,0,0
'120506173027949,2012-05-06 15:51,남면,'308-5 ,기타화재,0,남면,대선리,,0,0
'120507092042910,2012-05-07 8:01,구룡면,'575- ,주거시설-주택,0,구룡면,용당리,용당로 32-16,0,0
'120508210918415,2012-05-08 18:01,석성면,'163-3 ,기타(짚가리),2,석성면,봉정리,석성남로232번길 19,0,0
'120511162145666,2012-05-11 13:07,석성면,'13- ,임야,1,석성면,봉정리,,0,0
'120512160158775,2012-05-12 14:35,양화면,'290- ,기타,0,양화면,시음리,,0,0
'120516123002940,2012-05-16 9:56,부여읍,'31--7 번지,주거시설-단독주택,0,부여읍,용정리,,0,0
'120519140827641,2012-05-19 12:13,부여읍,'559- ,매일우유보급소 저온창고,0,부여읍,쌍북리,성왕로273번길 35-5,0,0
'120519144409224,2012-05-19 12:46,석성면,'1291- ,(주)별표비니루,1,석성면,증산리,증산로 81,0,0
'120519023025065,2012-05-19 23:03,양화면,'105- ,주거시설-단독주택,0,양화면,초왕리,오초로172번길 8-7,0,0
'120523103847344,2012-05-23 8:55,구룡면,'267-6 ,건축구조물(버섯재배사),2,구룡면,금사리,,0,0
'120523172328760,2012-05-23 16:11,옥산면,'209-1 ,기타(대나무),0,옥산면,상기리,옥산북로 459,0,0
'120525095357230,2012-05-25 8:46,부여읍,'434-9 공터,,0,부여읍,가탑리,,0,0
'120529112241252,2012-05-29 9:35,양화면,'99-1 ,기타(기계),0,양화면,수원리,,0,0
'120601023905285,2012-05-31 19:36,외산면,'12- ,임야,12,외산면,수신리,,0,0
'120601050453797,2012-06-01 3:01,세도면,'542-9 ,비닐하우스,0,세도면,귀덕리,부흥로 903-13,0,0
'120602171730772,2012-06-02 16:09,규암면,' - 586번지,기타- 비닐하우스,0,규암면,합송리,,0,0
'120603083441713,2012-06-03 4:57,초촌면,'53-1 ,임야,0,초촌면,신암리,,0,0
'120605201159283,2012-06-05 18:14,초촌면,'1-4 번지,공장(성천CNS),0,초촌면,신암리,신암로 422,0,0
'120606212730193,2012-06-06 18:55,남면,'118- ,기타(대나무),2,남면,금천리,금천동로22번길 3-13,0,0
'120607165202537,2012-06-07 15:14,세도면,'117-3 ,논뚝,1.5,세도면,간대리,,0,0
'120610223555966,2012-06-10 20:29,내산면,'149-1 ,근린생활- 방앗간(정미소),0,내산면,마전리,삼바실로76번길 52,0,0
'120615184045855,2012-06-14 17:54,초촌면,'342-2 ,대나무,2,초촌면,추양리,응추로 103-27,0,0
'120622050947377,2012-06-22 3:43,규암면,'3-4 인근 하천제방,쓰레기,0,규암면,노화리,,0,0
'120622140835306,2012-06-22 13:17,부여읍,'613-1 ,기타(제방),0,부여읍,정동리,,0,0
'120622170659806,2012-06-22 16:10,규암면,' - 공설운동장 인근 하천 제방,기타(하천),0,규암면,반산리,,0,0
'120622180725123,2012-06-22 17:05,홍산면,'215-0 ,기타(야적장),0,홍산면,남촌리,,0,0
'120626040625311,2012-06-26 2:42,세도면,'113- ,기타(비닐하우스),0,세도면,청포리,,0,0
'120626063020274,2012-06-26 4:07,석성면,'32-3 ,임야,0,석성면,비당리,,0,0
'120626225533348,2012-06-26 17:39,규암면,' - 공설운동장 인근 논둑,논둑,0,규암면,반산리,,0,0
'120626215726171,2012-06-26 18:37,장암면,'708-1 세계식품,세계식품(냉면공장),0,장암면,지토리,위덕로 216,0,0
'120628083148537,2012-06-28 7:12,규암면,'610-6 비닐하우스 옆 공터,,0,규암면,내리,,0,0
'120628165210161,2012-06-28 15:31,부여읍,'129- ,기타(폐지),0,부여읍,저석리,,0,0
'120630001053292,2012-06-29 22:15,임천면,'311- ,주거시설- 단독주택,0,임천면,만사리,,0,0
'120702133557100,2012-07-02 12:03,규암면,' - 하이힐리조트 골프장 내 도로상,차량- 승용차,0,규암면,합정리,,0,0
'120705054238132,2012-07-05 3:06,규암면,'517- ,주거시설-주택및 창고,0,규암면,신성리,,0,0
'120705090845893,2012-07-05 5:54,홍산면,'446- ,기타- 콘테이너,0,홍산면,교원리,,0,0
'120706062408732,2012-07-06 3:34,부여읍,' - 큰고개길 도로상,차량- 승용차량(아반떼),0,부여읍,저석리,,0,0
'120713051541156,2012-07-13 1:48,구룡면,'158-1 ,저온창고,0,구룡면,죽절리,망해로74번길 7,0,0
'120713171741296,2012-07-13 14:07,충화면,'32-1 ,주택,0,충화면,만지리,만지동로 60,0,0
'120718133552820,2012-07-18 10:26,남면,'219-53 ,,0,남면,,,0,0
'120718200016560,2012-07-18 17:47,부여읍,'448-2 ,단독주택,0,부여읍,군수리,신기정로94번길 23-4,0,0
'120720104308855,2012-07-20 9:30,부여읍,'187- 무지개빌라 304호,공동주택 - 무지개빌라,0,부여읍,동남리,,0,0
'120720125442118,2012-07-20 9:50,부여읍,' - 동문삼거리 인근 도로상,차량 - 현대 쏘나타2,0,부여읍,가탑리,,0,0
'120725190939360,2012-07-25 17:52,규암면,'121- ,기타(비닐하우스),0,규암면,반산리,충절로2362번길 16-3,0,0
'120728173716902,2012-07-28 15:21,은산면,'54- ,임야,0,은산면,장벌리,,0,0
'120803051158202,2012-08-03 1:22,규암면,'210-1 ,,0,규암면,외리,계백로11번길 10-8,0,0
'120804130221746,2012-08-04 11:33,충화면,'110- ,기타,0,충화면,복금리,,0,0
'120804172133845,2012-08-04 15:58,내산면,' - 입구 삼거리,오토바이,0,내산면,율암리,,0,0
'120818045507563,2012-08-18 1:36,임천면,'52-3 ,공장 - (주)티지엘 / 구 주식회사대한피엔비,0,임천면,탑산리,탑사로 72-29,0,0
'120828145540044,2012-08-28 13:43,부여읍,'358-10 정원주유소,주유소,0,부여읍,가탑리,금성로 96,0,0
'120831223114084,2012-08-31 20:55,장암면,'849- ,지토농장(돈사),0,장암면,지토리,,0,0
'120904145343543,2012-09-04 13:15,규암면,'39-24 ,,0,규암면,외리,딴펄로24번길 18-6,0,0
'120910030412870,2012-09-09 23:56,석성면,'364- 번지  상호명:친환경,"공장(진환경,비료생산)",0,석성면,증산리,연추로 123,0,0
'120917214738377,2012-09-17 20:09,은산면,'71-13 ,버섯재배사,0,은산면,가곡리,지천로 189,0,0
'120927164201986,2012-09-27 14:43,부여읍,'267-6 ,주거시설(다가구주택),0,부여읍,동남리,사비로12번길 18,0,0
'120929043634712,2012-09-29 2:13,내산면,'21-5 ,종교시설 - 대한불교대각종 미암사,0,내산면,저동리,성충로미암길 128,0,0
'121003114035901,2012-10-03 10:27,석성면,'881- ,동식물시설 - 축사(견사),3,석성면,증산리,증산천길 58,0,0
'121003155511913,2012-10-03 14:13,내산면,'291- ,주거시설 - 단독주택(공가),4,내산면,천보리,홍내로천보길 98-6,0,0
'121012235711990,2012-10-12 21:26,규암면,'294-5 ,,0,규암면,금암리,,0,0
'121018154705555,2012-10-18 14:01,충화면,'140-1 번지(형제농장),기타- 짚가리(형제농장우사),0,충화면,천당리,,0,0
'121018210144306,2012-10-18 17:46,규암면,'114- ,,0,규암면,호암리,,0,0
'121022134859144,2012-10-22 12:11,규암면,' - 농업기술센터 앞 도로상,차량,0,규암면,노화리,,0,0
'121026182353975,2012-10-26 16:12,초촌면,'125- ,우사,3,초촌면,세탑리,세탑로40번길 26-3,0,0
'121026233033370,2012-10-26 22:31,규암면,'35--9 번지,차량-트랙터,0,규암면,합송리,,0,0
'121029101428084,2012-10-29 6:00,외산면,'724-2 ,주거시설 - 단독주택,5,외산면,화성리,달하산길 18,0,0
'121029111636042,2012-10-29 8:09,석성면,' - 405-4,자동차,0,석성면,정각리,,0,0
'121101064633305,2012-11-01 4:42,임천면,'66-1 ,,0,임천면,두곡리,두곡로116번길 2,0,0
'121101140421625,2012-11-01 9:48,부여읍,' - 564-12 장미연립 A동 203호,주거시설 - 연립주택,0,부여읍,쌍북리,,0,0
'121115015032987,2012-11-14 21:50,남면,'257-15 ,기타- 헛간 (농엽용 창고),0,남면,송암리,송암로 7-16,0,0
'121128015913812,2012-11-27 23:54,은산면,' - 171-4,동식물시설 - 양계장,0,은산면,신대리,,0,0
'121203225421199,2012-12-03 22:02,규암면,' - 437-3,판매시설 - 기타 판매시설,0,규암면,나복리,,0,0
'121210064509077,2012-12-10 5:18,부여읍,'517-25 ,자동차 - 현대자동차 싼타페(2002.10.31.등록),0,부여읍,동남리,계백로241번길 12,0,0
'121211154257301,2012-12-11 13:59,내산면,'178- 번지,주택-헛간,0,내산면,저동리,성충로지우길 12-5,0,0
'121214174135091,2012-12-14 16:37,규암면,'138-13 ,자동차 - 삼륜오토바이,0,규암면,내리,내동로16번길 26-2,0,0
'121215093908696,2012-12-15 8:43,부여읍,'16-1 박물관 앞 삼거리 도로상,차량화재(뉴포터 초장축),0,부여읍,동남리,계백로 352,0,0
'121217140142216,2012-12-17 12:02,부여읍,'154- 번지,기타- 비닐하우스(화목보일러),0,부여읍,염창리,염창로 113-15,0,0
'121219013243852,2012-12-18 23:16,초촌면,'202- ,,0.6,초촌면,응평리,초촌로31번길 43,0,0
'121219115655193,2012-12-19 10:08,부여읍,'285-1 ,건설기계 - 굴삭기,0,부여읍,능산리,왕릉로 164,0,0
'121222134023142,2012-12-22 11:48,은산면,'352-1 ,,0,은산면,대양리,충절로대양7길 17,0,0
'121224204738621,2012-12-24 18:43,초촌면,'629- ,,3,초촌면,산직리,초평로98번길 39,0,0
'121225141800436,2012-12-25 13:09,부여읍,'76-3 76-3,주거시설 - 단독주택,0,부여읍,용정리,청마로 118-11,0,0
'121227160246147,2012-12-27 14:43,임천면,'535-3 성흥로 236-38,,0,임천면,구교리,성흥로 236-38,0,0
'121229220124727,2012-12-29 19:06,홍산면,'43-27 ,,0,홍산면,교원리,대백제로817번길 20-8,0,0
'121229231354329,2012-12-29 19:35,홍산면,'123-3 회관올라가는 방향,,0,홍산면,홍양리,,0,0
'130107095951989,2013-01-07 8:01,홍산면,'478-1 젤로팜영농조합법인(돈사),동식물관련시설-돈사(자돈),0,홍산면,조현리,,0,0
'130111152001024,2013-01-11 12:34,남면,'355-4 355-4,주택,0,남면,회동리,남성로464번길 27-1,0,0
'130112061458572,2013-01-12 4:10,부여읍,'420-1 ,,0,부여읍,구아리,부여로 25,0,0
'130116164636686,2013-01-13 22:11,규암면,'101-3  ,가건물(공터),0,규암면,호암리,백제문로호암길 76-24,0,0
'130115143909325,2013-01-15 12:23,은산면,'224-6 2구 은산중학교 위,,0,은산면,신대리,충의로749번길 8-14,0,0
'130116050033733,2013-01-16 3:20,부여읍,'511-8 ,근린생활시설 - 남태평양횟집,0,부여읍,동남리,성왕로 160-38,0,0
'130116231721718,2013-01-16 21:06,세도면,'45-2 비닐하우스 보일러,,0,세도면,청포리,,0,0
'130119101012025,2013-01-19 7:13,홍산면,' - 391-3,가건물,0,홍산면,토정리,,0,0
'130119102630369,2013-01-19 8:13,규암면,' - 하천부지,열기구,0,규암면,신리,,0,0
'130119162636321,2013-01-19 14:05,양화면,'517-1 ,동식물시설-비닐하우스(농예용온실),0,양화면,수원리,,0,0
'130121062151083,2013-01-21 4:49,부여읍,'43-6 ,근린생활시설 - 찜질방,0,부여읍,용정리,독정로147번길 6,0,0
'130122010921677,2013-01-21 23:58,규암면,'367- ,기타 - 비닐하우스,0,규암면,모리,,0,0
'130126011425519,2013-01-25 23:10,은산면,'59-2  59-2,주택,0,은산면,나령리,충절로 3433,0,0
'130128114910606,2013-01-28 9:10,규암면,' - 217-14,성경꽃집,0,규암면,외리,,0,0
'130129163013651,2013-01-29 12:30,옥산면,'533-1 533-1,주택,0,옥산면,홍연리,홍연로 48-6,0,0
'130130230341242,2013-01-30 20:24,부여읍,'239- 239,주택,0,부여읍,구아리,석탑로41번길 8,0,0
'130204023157928,2013-02-04 0:16,세도면,'148-1 ,,0,세도면,가회리,,0,0
'130205115948328,2013-02-05 9:43,부여읍,'305-3 ,주거시설 - 단독주택,0,부여읍,동남리,서동로 87-9,0,0
'130207084310010,2013-02-07 5:54,세도면,'660- ,주택,0,세도면,동사리,성흥로 476-26,0,0
'130207122555216,2013-02-07 11:08,부여읍,'500-5 ,,0,부여읍,정동리,백제문화로161번길 34-3,0,0
'130207191403924,2013-02-07 16:27,부여읍,'448- ,,0,부여읍,저석리,,0,0
'130207205230044,2013-02-07 17:36,장암면,'262-3 ,주거시설 - 단독주택,0,장암면,정암리,와요로 76-3,0,0
'130208183710318,2013-02-08 4:41,초촌면,'636- ,주거시설 - 단독주택,0,초촌면,산직리,초평로98번길 21,0,0
'130208082733006,2013-02-08 4:53,부여읍,'17- ,한국조폐공사제지본부,0,부여읍,염창리,염창로180번길 67,0,0
'130216174317917,2013-02-16 16:39,부여읍,'122-4 ,원두막,0,부여읍,동남리,,0,0
'130218130349100,2013-02-18 10:27,세도면,'480-1 ,주거시설 - 단독주택,0,세도면,귀덕리,인세로 4,0,0
'130218211819210,2013-02-18 18:20,규암면,'728- ,주택(부속창고),0,규암면,나복리,,0,0
'130219020049783,2013-02-19 0:15,세도면,'70-5 ,임야,0,세도면,동사리,,0,0
'130219152707822,2013-02-19 13:30,홍산면,'423-9 ,,0,홍산면,남촌리,팔충로 67,0,0
'130221175126203,2013-02-21 15:48,세도면,'696- ,기타,0,세도면,동사리,,0,0
'130221204738856,2013-02-21 18:04,초촌면,'132-5 ,,0,초촌면,초평리,,0,0
'130227140208668,2013-02-27 11:56,임천면,'67-2 ,대나무밭,0,임천면,칠산리,,0,0
'130227183431132,2013-02-27 14:02,남면,'20-18 외4필지,임야,0,남면,대선리,,0,0
'130227184859693,2013-02-27 15:11,은산면,' - 281외1필지,임야,0,은산면,가곡리,,0,0
'130227185529521,2013-02-27 15:41,규암면,' - 360-1외1필지,기타,0,규암면,노화리,,0,0
'130228112604861,2013-02-28 10:20,부여읍,'337-1 앞 도로상,화물자동차,0,부여읍,동남리,계백로 322,0,0
'130329133315726,2013-02-28 15:00,은산면,'25-6 ,밤뜨래영농조합법인(A.S.S제어함),0,은산면,은산리,충의로 602-27,0,0
'130228195852685,2013-02-28 16:03,홍산면,'428-1 ,야외 밤나무,0,홍산면,상천리,,0,0
'130228200354431,2013-02-28 16:57,남면,'13- ,임야,0,남면,송암리,,0,0
'130228201321616,2013-02-28 17:11,양화면,'30-1 ,임야,0,양화면,오량리,,0,0
'130304094954856,2013-03-04 8:14,부여읍,' - 왕진교 교차로 도로상,,0,부여읍,저석리,,0,0
'130304132053466,2013-03-04 11:19,은산면,'178-1 마을회관 옆 쓰레기장 연소 확대 됨,,0,은산면,회곡리,,0,0
'130305160613243,2013-03-05 13:31,남면,' - 71,임야,0,남면,마정리,,0,0
'130305202234427,2013-03-05 17:35,임천면,'168-6 ,,0,임천면,만사리,충절로 970,0,0
'130307193911164,2013-03-06 16:14,임천면,'136-6 외2 필지,임야,0,임천면,만사리,,0,0
'130307145521304,2013-03-07 13:36,외산면,' - 외산초등학교 방면 도로 상,,0,외산면,장항리,,0,0
'130308142458702,2013-03-08 12:58,부여읍,'219-3 ,주거시설 - 주택,0,부여읍,동남리,계백로 238-5,0,0
'130309142235387,2013-03-09 13:39,부여읍,' - 구 방송국 근처 ,,0,부여읍,동남리,,0,0
'130309170200391,2013-03-09 15:39,은산면,' - 산 11-8,,0,은산면,신대리,,0,0
'130310174556614,2013-03-10 15:08,내산면,'593-2 ,,0,내산면,온해리,,0,0
'130311152807229,2013-03-11 13:12,양화면,' - 산1-97외1필지,임야,0,양화면,입포리,,0,0
'130312165051544,2013-03-12 12:19,임천면,' - 산85외1필지,가건물(창고),0,임천면,두곡리,,0,0
'130315144111176,2013-03-15 12:30,세도면,' - 산 108,,0,세도면,장산리,,0,0
'130316123653819,2013-03-16 11:09,남면,'253-1 ,,0,남면,송암리,,0,0
'130321180527003,2013-03-21 17:25,남면,'327-17 ,,0,남면,삼용리,,0,0
'130322154220684,2013-03-22 14:28,남면,'20- ,,0,남면,삼용리,,0,0
'130322214100052,2013-03-22 19:53,임천면,'350- ,기타,0,임천면,만사리,만가로 96-33,0,0
'130326143351960,2013-03-26 11:53,임천면,' -220 ,임야,0,임천면,점리,,0,0
'130326171355717,2013-03-26 14:47,구룡면,'273-2 답 둑방,기타-목재,0,구룡면,구봉리,,0,0
'130326174147972,2013-03-26 16:27,구룡면,'206-2 ,,0,구룡면,죽교리,,0,0
'130327195241601,2013-03-27 17:37,세도면,'70-1 ,임야,0,세도면,동사리,동사로 109-26,0,0
'130328101940977,2013-03-28 6:16,충화면,'316- ,기타건축물 - 공사현장사무소,0,충화면,가화리,,0,0
'130328172840448,2013-03-28 15:41,규암면,'18-8 (진변로 39-5),,0,규암면,규암리,진변로 39-5,0,0
'130329203106820,2013-03-29 18:17,세도면,'306- 외 1필지,,0,세도면,장산리,인세로 185-2,0,0
'130331095051092,2013-03-31 6:17,구룡면,'361- ,,0,구룡면,구봉리,흥수로453번길 53-25,0,0
'130331142117023,2013-03-31 11:35,초촌면,'477-1 ,주거시설 - 단독주택,3.3,초촌면,신암리,신암로 214-8,0,0
'130331153208341,2013-03-31 12:31,부여읍,'973-13 부여에서 공주방면 도로상(국도),자동차,0,부여읍,정동리,,0,0
'130401203552299,2013-04-01 17:36,홍산면,'462-3 홍산센터 자체접수 주택화재,주택,0,홍산면,상천리,삽티로 399-11,0,0
'130404202109904,2013-04-04 14:59,구룡면,'822-1 ,가건물창고,0,구룡면,동방리,,0,0
'130405151034999,2013-04-04 15:16,초촌면,'1-2 외1필지,임야,0,초촌면,신암리,,0,0
'130404194103122,2013-04-04 16:12,홍산면,'42-5 외1필지,양계장,0,홍산면,상천리,상천로 42-7,0,0
'130407013614191,2013-04-06 20:29,내산면,'461-2 ,주택,0,내산면,지티리,성충로 393-15,0,0
'130408095456795,2013-04-08 8:41,장암면,'336-3 (원문로 69-19),,0,장암면,원문리,원문로 69-19,0,0
'130409190437057,2013-04-09 17:56,구룡면,'201-1 신흥산업 내(쓰레기장),기타 - 야외(쓰레기장),0,구룡면,주정리,망해로 14-1,0,0
'130409205845158,2013-04-09 19:13,초촌면,'24- ,주거시설 - 단독주택,4.8,초촌면,진호리,진호로 40,0,0
'130413190546686,2013-04-12 17:53,세도면,'70-1 ,임야,0,세도면,동사리,,0,0
'130413201555151,2013-04-12 18:14,세도면,'296- 외2필지,임야,0,세도면,가회리,,0,0
'130413122746753,2013-04-13 10:09,석성면,'11-263 임야,임야,3,석성면,비당리,,0,0
'130414175619218,2013-04-14 16:00,부여읍,'41-7 외 1필지,,0,부여읍,능산리,,0,0
'130419132008111,2013-04-19 11:31,구룡면,'698-6 ,기타 - 컨테이너,0,구룡면,동방리,,0,0
'130425064444876,2013-04-25 4:58,부여읍,'548-6  부여경찰서 앞 오거리,에어간판,0,부여읍,동남리,계백로 222,0,0
